فارسی,english
ايزونيازيد 300م INH قرص,ISONIAZID 300 MG TAB
ايزوسوربايد قرص 10 ميلي گرم,ISOSORBIDE DINITRATE 10 MG TAB
ايزوسوربايد 5م قرص,ISOSORBIDE 5 MG TAB IRANI
ايزوسوربايد قرص 40 ميلي گرم,ISOCOR (ISOSORBIDE SR 40 MG TAB
ايزوکسوپرين(دوواديلان )قرص,ISOXSUPRINE HCL 10 MG TAB
تلفست180(فکسوفنادين),TELFAST (FEXOFENADINE 180MG TAB
کتوکونازول قرص,KETOCONAZOLE 200 MG TAB
کنتراسپتيو دي اي قرص,MAROLIN TAB
ث ويتامين جويدني قرص 250 ميلي گرم,VITAMIN C (ASCORBIC ACID) 250 MG TABLET
فلکسي گل قرص گياهي گل دارو,فلکسي گل قرص گياهي گل دارو
فارينات قرص(سفورکسيم) 250 ميلي گرم,FARINAT (CEFUROXIME AXETIL 250 MG FC TAB
اولانزاپين 5م (زيپروبايوکس) قرص,ZYPROBIOX (OLANZEPINE 5 MG TAB
لواميزول قرص,LEVAMISOLE 50 MG TAB
ويرابکس قرص(والاسيکلووير) 1000 ميلي گرم,VIRABEX (VALACYCLOVIR 1000 MG TAB
پيزوتيفن نيم قرص,PIZOTIFEN 0.5 MG TAB
ث  جوشان حکيم  20عددي,VITAMIN C EFF 20 TAB
کرستور40م قرص(رزوواستاتين,CRESTOR (ROSUVASTATIN 40 MG TAB
لوونورژسترول قرص 0/75 ميلي گرم,LEVONORGESTREL 0.75 MG TAB
لووتيروکسين0/1 قرص ايراني,LEVOTHYROXINE SODIUM 0.1 MG TAB IR
ليوتيرونين قرص,LIOTHYRONINE SODIUM 25 MCG TAB
لاموتريژين قرص 100 ميلي گرم,LAMOBIOGINE (LAMOTRIGINE 100 MG TAB
پيزوتيفن 1.5م گ قرص,PIZOTIFEN 1.5 MG TAB
لورازپام قرص 1 ميلي گرم,LORAZEPAM 1 MG TAB
لورازپام قرص 2 ميلي گرم,LORAZEPAM 2 MG TAB
لواستاتين قرص توليدداخل,LOVASTATIN 20 MG TAB
لاينسترنول قرص,LYNESTRENOL 0.5 28 PIC TAB
سيفرول قرص 0/18 ميلي گرم(پرامي پکسول),SIFROL (PRAMIPEXOLE 0.18 MG TAB
مستينون 60 م سوئيسي 150عددي قرص,MESTINON (PYRIDOSTIGMINE 60MG 150TA
سان لايف منيزيم جوشان قرص,SUN LIFE MAGNESIUM EFF TAB
مبندازول قرص 100 ميلي گرم,MEBENDAZOLE 100 MG CHEWABLE TAB
مدروکسي پروژسترون 5م قرص,MEDROXYPROGESTERONE ACETATE 5 MG TAB
کلسيم کروگر جوشان قرص,KRUGER CALCIUM EFF TAB
متورال قرص 50 ميلي گرم,METORAL (METOPROLOL TARTRATE 50 MG TAB
تولکسين 100م قرص,TOLEXINE (DOXYCYCLINE MONOHYDRATE 100MG CAP
تادالافيل قرص 20 ميلي گرم,TADALAFIL 20MG TAB
زينک سولفات جوشان قرص,ZINC EFF TAB IRANI
کاربامازپين 400م هگزال قرص,CARBAMAZEPINE SR 400 MG TAB HEXAL
ويتامک ايمنوپلاس قرص,VITAMEC IMMUNO PLUS TAB
پنتاسا (مسالازين 500م قرص,PENTASA (MESALAZINE 500MG TAB
متفورمين قرص 500 ميلي گرم,METFORMIN HCL 500 MG TAB
کلوپيدوگرل آپو قرص,APO-CLOPIDOGREL BISULFATE 75 MG TAB
ايمدين قرص,IMEDEEN TAB
ب1 300 م قرص,VITAMIN B1 (THIAMINE HCL) 300MG TAB
پرزرويژن لوتئين قرص,PRESERVISION LUTEINE TAB
متي مازول قرص,METHIMAZOLE 5 MG TAB
متوکاربامول قرص,METHOCARBAMOLE 500 MG TAB
متوتروکسات(ترکسان 2/5 قرص,TREXAN (METHOTREXATE SODIUM 2.5 MG
متوکسالن قرص ملادينين,MELADENIN (METHOXSALEN 10 MG TAB
متيل دوپا قرص 250ميلي گرم,METHYLDOPA 250 MG TAB
متيل ارگونوين قرص,METHYLERGONOVINE MALEATE 0.125 MG TAB
اندانسترون (دميترون) قرص 4 ميلي گرم,ONDANSETRON HCL 4 MG TAB
متيل تستوسترون قرص,METHYLTESTOSTERONE 25 MG TAB
متوکلوپراميد قرص 10 ميلي گرم,METOCLOPRAMIDE 10 MG TAB
مترونيدازول قرص250 ميلي گرم,METRONIDAZOLE 250 MG TAB
زينک پلاس يوروويتال کپسول 10 ميلي گرم,EURHO VITAL ZINC PLUS 10 MG
اوروويتال پروستافيت قرص,EURHO VITAL PROSTAFIT TAB
يوهمبين 2م خارجي قرص ورقي,YOHIMBINE HCL 2 MG  TAB
مولتي ويتامين ايراني قرص,MULTIVITAMIN TAB
مولتي جوشان قرص ايراني10عددي,MULTIVITAMIN EFF 10 TAB IRANI
ناليديکسيک اسيد قرص 500 ميلي گرم,NALIDIXIC ACID 500 MG TAB
ناپروکسن 250 قرص,NAPROXEN 250MG TAB
ناپروکسن 500 قرص,NAPROXEN 500MG TAB
لاموتروژن 50 م خارجي قرص,LAMOTRIGINE 50 MG TAB TORRENT & NEOLAB
نيکوتينيک اسيد 100م قرص,NICOTINIC ACID (NIACIN 100 MG TAB
نيکلوزامايد 500م قرص,NICLOSAMIDE 500 MG TAB
نيکوتينيک اسيد 25م قرص,NICOTINIC ACID (NIACIN 25 MG TAB
زولپيدم 10 هگزال قرص,ZOLDEM (ZOLPIDEM 10 MG TAB
نيفديپين 10م قرص,NIFEDIPINE 10 MG TAB
لوزارتان 25م قرص,LOSARTAN 25 MG TAB
لاموتروژن100خارجيREDYS قرص,REDYS LAMOTRIGINE 100 MG TAB
نيتروفورانتوئين قرص 100 ميلي گرم,NITROFURANTOIN 100 MG TAB
سرترالين 100م قرص (لوسترال فايزر,سرترالين 100م قرص (لوسترال فايزر
پلي کوزانول 10م قرص (کاهش کلسترول خون,پلي کوزانول 10م قرص (کاهش کلسترول خون
نيتروگليسيرين 6/4 رتارد 50عددي(تداگليز,NITROGLYCERIN SR 6.4 MG 50 TABLETS
نورمودپين 5م قرص(آملودپين,NORMODIPINE (AMLODIPINE BESYLATE 5
بايوکلد قرص,BIOCOLD (ADULT COLD TAB
نيستاتين قرص خوراکي,"NYSTATIN 500,000 U  TABLET"
افلوکساسين 100م قرص,OFLOXACIN 100 MG TAB
افلوکساسين قرص 200 ميلي گرم,OFLOXACIN 200 MG FC TAB
اگزازپام قرص 10 ميلي گرم,OXAZEPAM 10 MG TAB
موبيک (ملوکسيکام) 15م قرص,MOBIC (MELOXICAM 15 MG TAB
ترامادول 50 ايراني قرص,TRAMADOL HCL 50MG TAB IRANI
متوهگزال 95 قرص,METOHEXAL 95 MG TAB
سيليمارين قطره,سيليمارين قطره
پانکراتين قرص,PANCREATIN  TAB
پني سيلامين 250م قرص(آرتامين,ARTAMIN (PENICILLAMINE 250MG CAP
پني سيلين وي قرص 500 ميلي گرم,"PENICILLIN V POTASSIUM 500MG (800,000 U) TAB"
رکوئيپ 0/025م قرص,REQUIP (ROPINIROLE 0.25 MG FC TAB
متوهگزال 47/5 قرص,METOHEXAL47.5 MG TAB
متوهگزال 190م قرص,METOHEXAL 190 MG TAB
ب1 100ميلي  قرص,VITAMIN B1 (THIAMINE HCL) 100MG TAB
پرفنازين 2م قرص,PERPHENAZINE 2 MG TAB
پرفنازين 4م قرص,PERPHENAZINE 4 MG TAB
پرفنازين 8م قرص,PERPHENAZINE 8 MG TAB
فنازوپيريدين  قرص 100م,PHENAZOPYRIDINE HCL 100 MG TAB
فنوباربيتال قرص 15 ميلي گرم,PHENOBARBITAL 15 MG TAB
فنوباربيتال 30م قرص,PHENOBARBITAL 30 MG TAB
فنوباربيتال قرص 60 ميلي گرم,PHENOBARBITAL 60 MG TAB
فنوباربيتال قرص 100 ميلي گرم,PHENOBARBITAL 100 MG TAB
آويتامين 50000 قرص,"VITAMIN A 50,000 U TAB"
فني توئين کامپاند قرص,PHENYTOIN COMPOUND TAB
ابيکسا(ممانتين) 10م خارجي قرص,EBIXA (MEMANTIN 10 MG TAB
نيچرگيفت اي ويتامين +سلنيوم,NATURE'S GIFTS MAJESTIC SELENIUM PL
پيراستام قرص 800 ميلي گرم,PIRACETAM 800MG TAB
آويتامين 25000 قرص,"VITAMIN A 25,000 U TAB"
گلوبيفر قرص,GLOBIFER TAB
متفورمين هگزال قرص 500 ميلي گرم,METFORMIN HCL 500 MG TAB HEXAL
دومپريدون10خارجي افق دارو قرص,DOMPERIDONE MALEATE 10MG TAB UK
تيوريدازين قرص 25 ميلي گرم,THIORIDAZINE HCL 25MG TAB
پرازوسين قرص 1 ميلي گرم,PRAZOSIN 1 MG TAB
پرازوسين قرص 5 ميلي گرم,PRAZOSIN 5 MG TAB
فلووکسامين قرص 100 ميلي گرم,FLUVOXAMINE 100 MG TAB ABIDI & SOBH
لاموتروژن100 سبحان(لاموژين قرص,LAMOGINE (LAMOTRIGINE 100 MG TAB
پردنيزولون 5 ميلي قرص,PREDNISOLONE 5 MG TAB
پردنيزولون 50 ميلي قرص,PREDNISOLONE FORT 50 MG TAB
سيتريزين قرص 5 ميلي گرم,CETIRIZINE 2 HCl 5 MG TAB IRANI
پريميدون 250م قرص,PRIMIDONE 250MG TAB
متفورمين هگزال قرص 1000 ميلي گرم,METFORMIN HCL 1000 MG TAB HEXAL
ب کمپلکس قرص,ب کمپلکس قرص
کلداکس قرص معمولي,COLDAX (ADULT COLD TAB
کوزار 50(لوزارتان),COZAR (LOSARTAN  50 MG TAB
پرومتازين 25م قرص,PROMETHAZINE HCL 25MG TAB IRANI
تاهور 40 (آتورواستاتين) قرص,TAHOR (ATORVASTATIN 40MG TAB
ليورگل قرص 70 ميلي گرم,LIVERGOL 70 MG TAB
پروپانتيلين برومايدقرص,PROPANTHELINE BROMIDE 15 MG TAB
پروپرانولول قرص 10 ميلي گرم,PROPRANOLOL HCL 10 MG TAB
پروپرانولول قرص 40 ميلي گرم,PROPRANOLOL HCL 40 MG TAB
پروپرانولول قرص 20 ميلي گرم,PROPRANOLOL HCL 20 MG TAB
جينکوگل قرص,GINKOGOL TAB
پروپيل تيوراسيل 50 ايراني قرص,PROPYLTHIOURACIL 50 MG TAB
ليورگل قرص 140 ميلي گرم,LIVERGOL 140 MG TAB
ب3001خارجي قرص (برونسون,ب3001خارجي قرص (برونسون
پزودوافدرين قرص,PSEUDOEPHEDRINE 30MG TAB
دومپريدون 10 هگزال قرص,DOMPERIDONE MALEATE 10MG TAB HEXAL
پيروينيوم پاموات قرص,PYRVINIUM PAMOATE 50MG TAB
دي والپروکس(ديوالدين250م قرص,DIVALDIN (DIVALPROEX 250 MG TAB
دي والپروکس(دي والبايوکس  500م قرص,DIVALDIN (DIVALPROEX 500 MG SR TAB
سوپراويت ويتامين ث جوشان قرص,SUPRA VIT VITAMIN C EFF ATB
نيچرميد کلسيم+د 500م قرص,NATURE MADE CALCIUM D3 TAB
نيچرميد سلنيوم قرص200م,NATURE MADE SELENIUM 200 MCG TAB
ويتالايف کوکيوتن  90 عددي,ويتالايف کوکيوتن  90 عددي
کينيدين سولفات 200م قرص,QUINIDINE SULFATE 200 MG TAB
کينيدين دورولزقرص,QUINIDINE BISULFATE(Eq 200MG sUlfate SR) 250M
سلژلين 5م قرص,SELEGILINE HCL 5 MG TAB
لووتيروکسين 0/5م  قرص ايراني,LEVOTHYROXINE SODIUM 0.05 MG TAB IR
راني تيدين 150م قرص,RANITIDINE 150 MG TAB
ويتارمونيل تاپ ليور قرص (مخمرآبجو,VITARMONYL TOP LEVURE TAB
آملوپرس قرص 5 ميلي گرم,AMLOPRES (AMLODIPINE BESYLATE 5 MG
دوفاستون 10م (ديدروژسترون قرص,DUPHASTON (DYDROGESTERONE 10MG TAB
سالبوتامول قرص,SALBUTAMOL SULFATE 2 MG TAB
رپاگلينايد قرص(نيوبت) 1 ميلي گرم,NEWBET (REPAGLINIDE 1 MG TAB
رپاگلينايد قرص(نيوبت) 2 ميلي گرم,NEWBET (REPAGLINIDE 2  MG TAB
رپاگلينايد قرص(نيوبت) 0.5 ميلي گرم,NEWBET (REPAGLINIDE 0.5  MG TAB
ليسکانتين(پريميدون)قرص,LISCANTINE (PRIMIDONE 250 MG TAB
اسپيرامايسين ايراني قرص,SPIRAMYCIN 500 MG TAB
اسپيرونولاکتون قرص 25 ميلي گرم,SPIRONOLACTONE 25 MG TAB
سوکرالفات  قرص 500,SUCRALFATE 500 MG TAB
دپاکين قرص 200 ميلي گرم,DEPAKINE (VALPROATE SODIUM 200MG TA
ايزوترتينوئين 20 م نورم اسکين ايراني,ISOTRETINOIN 20 MG CAP norm skin
سولفاسالازين500 ايراني قرص,SULFASALAZINE 500 MG TAB IRANI
اليت ليکوئيد( کلسيم پلاس 60عددي,ELITE OSTEO CALTEX 60 SOFTGELS
نيچرزبونتي ويتامين مو  65 عددي,NATURAL WORLD VITAMINS FOR THE HAIR
مولتي ويتامين کامپليت يوروويتال قرص,
اوروويتال ويتافيت 30عددي,EURHO VITAL VITAFIT 30 TAB
تاموکسيفن10م نولوادکس قرص,TAMOXIFEN CITRATE 10MG TAB
اوروويتال ويتافيت 60 عددي,EURHO VITAL VITAFIT 60 TAB
کوکيوتن 100 ميلي گرم فلاکون 50 عددي,کوکيوتن 50 عددي ايراني
نيچرميد کلسيم (منيزيم زينک دي MgzD,NATURE MADE CALCIUM MAG ZINC D3 TAB
آيرون+ويتامين ث برونسون قرص,آهن باويتامين ث برونسون ورقي  پيوسته رهش  قرص
فکسوفنادين قرص 120 ميلي گرم,FEXOFENADINE 120 MG TAB
تئوفيلين معمولي قرص,THEOPHYLLINE 100MG TAB
ديناميزان قرص,DYNAMISAN TAB
تئوفيلين 200ميلي قرص,THEOPHYLLINE 200MG RET TAB
آنتي ايجينگ کيومکس,ANTI AGING QMAXXX SOFTGEL
تي اتيل پرازين قرص,THIETHYLPRAZINE TAB IRANI
نيچرزاونلي سوپراکل قرص,NATURES ONLY SUPRACAL TAB
ريس پريدون خارجي2ژانسن,RISPERIDONE 2 MG TAB
وراپاميل قرص 40 ميلي گرم,VERAPAMIL HCL 40 MG TABLET
والپروات سديم قرص ايراني200,VALPROATE SODIUM 200 MG  TABLET
منيزيم جوشان کروگر,KRUGER MAGNESIUM EFF TAB
تيلاکتاز ايراني قرص,TILACTASE (LACTASE) 3000FCC U  TAB
گرين برن قرص,گرين برن قرص
تينيدازول قرص 500 ميلي گرم,TINIDAZOLE 500MG TAB
لوزار قرص اکتوور 50 ميلي گرم,LOSAVER 50 MG TAB
تولمتين 200 قرص,TOLMETIN SODIUM 200MG TAB
تريميپرامين قرص 100 ميلي گرم,TRIMIPRAMINE MALEATE 100 MG TAB
لويترا 20(4عددي),LEVITRA (VARDENAFIL 20 MG 4 TABLETS
دافلون 500م قرص,DAFLON 500 MG TAB
تريامترن اچ قرص,TRIAMTERENE-H TAB
تري فلوپرازين قرص 1 ميلي گرم,TRIFLUOPERAZINE 1 MG  TAB
تري فلوپرازين قرص 2 ميلي گرم,TRIFLUOPERAZINE 2 MG  TAB
تري فلوپرازين قرص 5 ميلي گرم,TRIFLUOPERAZINE 5 MG  TAB
نيچرزاونلي لاکتول قرص,NATURES ONLY LACTOL TAB
سفيکسيم قرص 200 ميلي گرم,CEFIXIME 200 MG TAB
لگزانول500م (استامينوفن /کافين 65م قرص,LEXANOL (ACETAMINOPHEN/COFFEINE TAB
تري هگزي فنيديل  قرص 2 ميلي گرم,TRIHEXYPHENIDYL HCL 2 MG TAB
سوتالول 80م ايراني,SOTALOL HCL 80 MG TAB
والپروات سديم قرص 200ميلي گرم قوطي,VALPROATE SR 500 MG TAB SANDOZ
نکسيوم 40 قرص قوطي,NEXIUM (ESOMEPRAZOPL 40 MG TAB
درگليس قرص (شيرين بيان),D-REGLIS  TAB
وياگرا (سيلدنافيل 50م فرانسوي قرص,وياگرا (سيلدنافيل 50م فرانسوي قرص
پاباکا500م (پتاسيم پاراامينوبنزوات قرص ),PABA-K (POTASSIUM P AMINOBENZOIC ACID) 500MG TAB
تاهور 10 قرص,ATORVASTATIN 10MG TAB
نيچرگيفت مولتي ويتامين وان ديلي,NATURE'S GIFTS ONE DAILY TAB
دزوسپتيو قرص,CONTRACEPTIVE DE TAB
آلپرازولام 0/5آپو قرص,APO-ALPRAZOLAM 0.5 MG TAB
نيتروگليسرين چسب هرعدد,نيتروگليسرين چسب هرعدد
زيبان 150م قرص(بوپروپيون,ZYBAN (BUPROPION SR 150 MG TAB
سنالاکس(سنامد قوطي25عددي قرص,SENA-LAX  25 TAB
کوريول(کارويديلول)12/5,CORYOL (CARVEDILOL 12.5 MG TAB
زولپيدم قرص 10 ميلي گرم,ZOLPIDEM 10 MG  TAB
لايف استيل جينک سينگ قرص,LIFE STYL GINSENG
سنتري کلسيم+منيزيم قرص(MGZD,CENTURY CAL MAG ZINC PLUS D TAB
اي 100م ويتامين قرص اسوه  داروپخش,VITAMIN E 100IU TAB OSVAH & DARU PA
پتاسيم کلرايد600 قرص خارجي (اسلوکي,POTASSIUM CHLORIDE SR 500 MG TAB
تاهور 20 قرص,ATORVASTATIN 20MG TAB
بوسپيرون 5 م هگزال قرص,BUS 5 (BUSPIRONE 5 MG TAB HEXAL
اپتي وومن گلدن لايف قرص,اپتي وومن عددي قرص
ايکس ايد قرص هرعدد,ISOSORBIDE 5 MG TAB SANDOZ
ويتامين ک خارجي قرص,ويتامين ک خارجي قرص
کافرگوت ورقي قرص,CAFERGOT TAB BILISTER
ايزيکام 250م (لوودوپا+کربي دوپاقرص,ISICOM (LEVODOPA-C FORTE 250 TAB
ايزيکام 100م (لودوپا+کاربي دوپا,ISICOM (LEVODOPA-C 110 MG TAB
فمارا(لترزول)ترک قرص,FEMARA (LETROZOLE 2.5 MG TAB
ترانيل سيپرومين10م قرص (پرنيت,TRANYLCYPROMINE PARNATE 10 MG  TAB
مبورين قرص 135 ميلي گرم,MEBEVERIN HCL 135 MG TAB
تري متوپريم 100,TRIMETHOPRIM 100 MG TAB
ممانتين 10 ايراني قرص ايراني,MEMANTIN 10 MG TAB
ملوکاست 5 ايراني,MONTELUKAST SODIUM 5 MG CHEW TAB
بوپروپيون 150(ولبوترين),WELLBUTRIN (BUPROPION SR 150 MG TAB
بوپروپيون 150 قوطي 100عددي خارجي,BUPROPION SR 150 MG TAB
آدالات خارجي قرص,آدالات خارجي قرص
لاموتروژن100خارجي 56عددي,LAMOTRIGINE 100 MG TAB
آميودارون 200 قرص,AMIODARONE  HCL 200 MG  TAB
انرژي زا جوشان سان لايف,
ونلافاکس 37/5 م قرص ايراني,VENLAFAXINE HCL 37.5  MG TAB
اسليم کوئيک قرص,SLIM QUICK TAB
سونگانايت قرص,سونگانايت قرص
نورتريپتيلين قرص 10 ميلي گرم,NORTRIPTYLINE HCL 10MG TAB
سرترالين 100 اکسير عبيدي,SERTRALIN HCL 100 MG TAB ABIDI
گليکوگل قرص,PROPYLTHIOURACIL
فوليدار (کلسيم فولينات 15م ) قرص,FOLIDAR 15 MG TAB
ونلافاکس 75م ايراني قرص,VENLAFAXINE HCL 75 MG CAP IRANI
کافرگوت20عددي ترک قرص,CAFERGOT 20 TAB TURKEY
ريتالين 10م خارجي قرص(فارسي نويس,RITALIN (METHYLPHENIDATE HCL 10 MG TAB
لاموتروژون 50 م ايراني (روزداروقرص,LAMOTRIGINE 50 MG TAB ROSE DARU
پنتوپرازول 20عبيدي کپسول,PANTOPRAZOL 20 MG CAP ABIDI
اي قرص 200 جويدني,VITAMIN E 200IU CHEWABLE TAB IRANI
گلوکوفاژ قرص 1000 ميلي گرم,GLUCOPHAGE (METFORMIN HCL 1000 MG TAB
سديم فلورايدميلي قرص 20,SODIUM FLUORIDE 20 MG TAB
استيل سيستين200قرص ايراني,ACETYLCYSTEINE 200 MG TAB IR
آسپرين قرص 81 ميلي گرم,ASA 81 MG EC TAB
سنتروم سيلور  هرعدد,سنتروم سيلور  هرعدد
فيناسترايد قرص 5 ميلي گرم,FINASTERIDE 5 MG TAB
نيچرزاونلي کارتيژن 500م قرص,نيچرزاونلي کارتيژن 500م قرص
فکسيگرا  180 قرص,FEXIGRA (FEXOFENADINE 180 MG TAB
لوودوپاسي قرص 110 ميلي گرم,LEVODOPA C 110 MG TAB
سرسيس قرص فارماتون,سرسيس قرص فارماتون
فکسيگرا 120 قرص,FEXIGRA (FEXOFENADINE 120 MG TAB
پنتوپرازول 40 عبيدي کپسول,PANTOPRAZOL 40MG CAP ABIDI
ملوکسيکام 7/5 قرص,MELOXICAM 7.5 MG TAB
ملوکسيکام 15 قرص,MELOXICAM 15 MG TAB
کلسيم +ث مينو جوشان قرص,MINOO CALCIUM PLUS VIT C EFF TAB
سرترالين 50م باختر قرص,SERTRABIOL (SERTRALIN HCL 50 MG TAB
سرترالين 100باخترقرص(سرترابايول,SERTRABIOL (SERTRALIN HCL 100 MG TA
کتوتيفن 1 قرص,KETOTIFEN FUMARATE 1 MG TAB
ايبوبروفن 600 م قرص,ايبوبروفن 600 م قرص
بايامادول 100م قرص,بايامادول 100م قرص
اورلپيت قرص مينو,ORLEPT (VALPROATE MINOO 200 MG TA
